J4113|USTR0001|C41RS:0 C41R:3 C41RTXN:14 
J42045|USTR0001|C41RS:0 C43RS:1 C09RS01:14 C42R:24 C42112R:2 
J4211|USTR005|C41RS:0 C43RS:1 C09RS01:14 C42R:9 
J42045|USTR0001|C41RS:0 C43RS:7 C01RS:3 C03R:5 C0315R:17 
J09800|ZJDE0028|C41RS:0 C43RS:8 C12R:8 C1222R:7 
J4211|USTR006|C41RS:0 C43RS:1 C09RS01:14 C42R:10 
J4211|USTR009|C41RS:0 C43RS:1 C09RS01:14 C42R:11 
J4108|ZJDE0001|C41RS:0 C41R:5 C4113R:17 
J010513||C41RS:0 C43RS:7 C01RS:1 C01R:5 
J4211|USTR004|C41RS:0 C43RS:1 C09RS01:14 C42R:6 
J01053|ZJDE0001|C41RS:0 C43RS:7 C01RS:1 C01R:9 
J4206||C41RS:0 C43RS:7 C01RS:3 C03R:5 C0315R:19 
J01053|ZJDE0001|C41RS:0 C43RS:7 C01RS:3 C03R:2 C0311R:15 
J41026|U0001|C41RS:0 C41R:1 
J09800|ZJDE0029|C41RS:0 C43RS:8 C12R:18 C1212R:19 
J4016|ZJDE0001|C41RS:0 C43RS:7 C01RS:1 C01R:11 
J03103|USTC0002|C41RS:0 C43RS:7 C01RS:3 C03R:3 C0312R:3 
J4114|UR001|C41RS:0 C41R:3 C41RTXN:1 
J03103|USTC0011|C41RS:0 C43RS:7 C01RS:3 C03R:3 C0312R:4 
J09201||C41RS:0 C43RS:8 C12R:18 C1212R:22 
J4211|USTR011|C41RS:0 C43RS:1 C09RS01:14 C42R:12 
J4206||C41RS:0 C43RS:7 C01RS:1 C01R:8 
J4116|USTR0008|C41RS:0 C41R:3 C41RTXN:16 
J12104||C41RS:0 C43RS:8 C12R:8 C1222R:22 
J4101|U0001|C41RS:0 C41R:2 
J4211|USTR003|C41RS:0 C43RS:1 C09RS01:14 C42R:2 
J09800|ZJDE0016|C41RS:0 C43RS:8 C12R:18 C1212R:6 
J1201|ZJDE0001|C41RS:0 C43RS:8 C12R:2 
J4312|USTR0001NQ|C41RS:0 C43RS:5 C43PA3R:2 
J01054|U0001|C41RS:0 C43RS:7 C01RS:1 C01R:12 
J0901||C41RS:0 C43RS:1 C09RS01:8 
J09101|USTC0001|C41RS:0 C43RS:1 C09RS01:2 
J09800|ZJDE0029|C41RS:0 C43RS:8 C12R:8 C1222R:21 
J09201||C41RS:0 C43RS:8 C12R:8 C1222R:15 
J4211|USTR002|C41RS:0 C43RS:1 C09RS01:14 C42R:4 
J09800|ZJDE0028|C41RS:0 C43RS:8 C12R:18 C1212R:15 
J4211|USTR010|C41RS:0 C43RS:1 C09RS01:14 C42R:8 
J010512||C41RS:0 C43RS:7 C01RS:1 C01R:7 
J12105||C41RS:0 C43RS:8 C12R:8 C1222R:19 
J4116|USTR0008|C41RS:0 C41R:3 C41RTXN:13 
J3114|USTR001|C41RS:0 C31R:2 C3115R:3 
J4211|USTR007|C41RS:0 C43RS:1 C09RS01:14 C42R:5 
J1202||C41RS:0 C43RS:8 C12R:4 
J42045|USTC0006|C41RS:0 C41R:5 C4113R:3 
J12850|USTR0001|C41RS:0 C43RS:8 C12R:7 
J42045|USTR0002|C41RS:0 C41R:23 
J4312|USTR0001NQ|C41RS:0 C43RS:1 C09RS01:20 C43PA3R:2 
J01051||C41RS:0 C43RS:7 C01RS:1 C01R:2 
J3114|USTC0001|C41RS:0 C31R:2 C3115R:9 
J4211|USTR001|C41RS:0 C43RS:1 C09RS01:14 C42R:3 
J0901A||C41RS:0 C43RS:1 C09RS01:9 
