J4114|U0006|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:17 
J4312|USTF0001PQ|C31FSFC:0 C43PA3F:4 
J4312|U0003FPC|C31FSFC:0 C41TXN3F:18 
J57599|USTF0003B|C31FSFC:0 C43F:12 C43FA:7 C43FA2:4 
J4312|U0003B|C31FSFC:0 C43PA3F:11 C41TXN1F:24 
J4242|U0002|C31FSFC:0 C31FSFC:14 
J57616|USTC0001|C31FSFC:0 C43PA3F:24 C732F:21 C58F:12 
J4112|U0003|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:16 
J4306||C31FSFC:0 C43F:14 C43A16F:14 
J43500|USTF0002H|C31FSFC:0 C43PA3F:11 C41TXN1F:22 
J57599|USTF0001|C31FSFC:0 C43F:12 C43FA:18 
J4242|U0002BF|C31FSFC:0 C43PA3F:11 C41TXN1F:3 
J4113|U0001|C31FSFC:0 C3111FWO:5 C3115FWOCL:14 
J43510|USTF0001PC|C31FSFC:0 C41TXN3F:17 
J01054|USTC0001|C31FSFC:0 C43F:14 C43A16F:18 
J57599|USTF0004|C31FSFC:0 C43F:12 C43FA:3 
J41240|U0003F|C31FSFC:0 C4121F:18 
J3114|USTF0001|C31FSFC:0 C3111FWO:3 C3111FWOPK:22 
J4112|U1111|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:20 
J4312|USTF0001AQ|C31FSFC:0 C43PA3F:5 
J4312|USTF0004NQ|C31FSFC:0 C43PA3F:6 
J43500|USTF0002PC|C31FSFC:0 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:4 
J4141|U0001|C31FSFC:0 C4121F:16 
J4112|U1111A|C31FSFC:0 C31FSFC:11 
J4116|U0004|C31FSFC:0 C3111FWO:5 C3115FWOCL:15 
J42045|USTC0001|C31FSFC:0 C43PA3F:24 C732F:14 
J4211|USTIIPISMP|C31FSFC:0 C43PA3F:24 C732F:21 C58F:5 
J4311|USTF0014A|C31FSFC:0 C43F:12 C43FA:16 
J41240|U0003F|C31FSFC:0 C43F:24 C4121FINQ:14 
J42045|USTN0001|C31FSFC:0 C31FSFC:19 
J4242|U0002|C31FSFC:0 C3111FWO:15 C41TXN1F1:2 
J42045|USTF0001|C31FSFC:0 C43PA3F:11 C41TXN1F:8 
J4312|USTF0003NQ|C31FSFC:0 C43PA3F:3 
J4242|U0002|C31FSFC:0 C43PA3F:11 C41TXN1F:2 
J43510|USTF0001|C31FSFC:0 C43PA3F:11 C41TXN1F:17 
J4112|U0002|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:22 
J4211|U0001|C31FSFC:0 C43PA3F:24 C732F:22 
J4101|U0001|C31FSFC:0 C43F:17 C41PF:2 
J41240|U0001F|C31FSFC:0 C3111FWO:13 C4121FCNT:14 
J57599|USTF0001B|C31FSFC:0 C43F:12 C43FA:7 C43FA2:3 
J31114|USTF0001|C31FSFC:0 C3111FWO:3 C3111FWOPK:8 
J4211|USTINTLOTH|C31FSFC:0 C43PA3F:24 C732F:21 C58F:6 
J4312|USTF0001NQ|C31FSFC:0 C43PA3F:2 
J4112|U0004|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:21 
J43510|USTF0001H|C31FSFC:0 C43PA3F:11 C41TXN1F:23 
J4311|USTF0012|C31FSFC:0 C43F:2 
J41240|U0001F|C31FSFC:0 C4121F:14 
J4141|U0001|C31FSFC:0 C3111FWO:13 C4121FCNT:16 
J57599|USTF0005|C31FSFC:0 C43F:12 C43FA:7 C43FA2:5 
J4311|USTF0011|C31FSFC:0 C43F:3 
J57599|USTF0013|C31FSFC:0 C43F:12 C43FA:2 
J4114|U0014|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:19 
J4211|USTINTLSMP|C31FSFC:0 C43PA3F:24 C732F:21 C58F:3 
J4311|USTF0013|C31FSFC:0 C43F:5 
J4114|U0006FXP|C31FSFC:0 C41TXN3F:2 
J4312|U0003FPC|C31FSFC:0 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:6 
J4114|U0013B|C31FSFC:0 C43PA3F:11 C41TXN1F:10 
J4312|USTF0001B|C31FSFC:0 C43F:22 C43PA3FTMP:2 
J4112|U3333|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:18 
J4114|U0013B|C31FSFC:0 C31FSFC:22 
J4311|USTF0013A|C31FSFC:0 C43F:12 C43FA:17 
J4211|USTINTLMEX|C31FSFC:0 C43PA3F:24 C732F:21 C58F:4 
J4211|USTINTLSTD|C31FSFC:0 C43PA3F:24 C732F:21 C58F:2 
J42045|USTC0001|C31FSFC:0 C43PA3F:24 C732F:21 C58F:17 
J43500|USTF0002|C31FSFC:0 C43PA3F:11 C41TXN1F:16 
J4312|USTF0003B|C31FSFC:0 C43F:22 C43PA3FTMP:3 
J57599|USTF0013|C31FSFC:0 C43F:12 C43FA:19 
J41026|U0001|C31FSFC:0 C43PA3F:24 C732F:21 C58F:14 C3111FPK2:19 
J4114|U0005|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:14 
J57599|USTF0001|C31FSFC:0 C43F:10 
J41413|USTF0001|C31FSFC:0 C43F:24 C4121FINQ:16 
J4311|USTF0011A|C31FSFC:0 C43F:12 C43FA:15 
J4114|U0013|C31FSFC:0 C31FSFC:21 
J4116|U0004|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:15 
J4311|USTF0014|C31FSFC:0 C43F:4 
J4113|U0001|C31FSFC:0 C43PA3F:12 
J4114|U0008|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:23 
J43510|USTF0001PC|C31FSFC:0 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:5 
J3114|USTF0001|C31FSFC:0 C3111FWO:5 C3115FWOCL:3 
J4113|U0002|C31FSFC:0 C31FSFC:10 
J4312|USTF0002NQ|C31FSFC:0 C43PA3F:7 
J4311|USTF0012A|C31FSFC:0 C43F:12 C43FA:14 
J4312|U0003|C31FSFC:0 C43PA3F:11 C41TXN1F:18 
J43500|USTF0002PC|C31FSFC:0 C41TXN3F:16 
J31113|USTC0002|C31FSFC:0 C3111FWO:3 C3111FWOPK:9 
J4312|USTF0003C|C31FSFC:0 C43F:22 C43PA3FTMP:4 
J4211|USTINTCSMP|C31FSFC:0 C43PA3F:24 C732F:21 C58F:7 
J4114|USTPOS|C31FSFC:0 C31FSFC:12 
J41026|U0001|C31FSFC:0 C43F:17 C41PF:3 
J4114|U0013|C31FSFC:0 C43PA3F:11 C41TXN1F:9 
J41413|USTF0001|C31FSFC:0 C4121F:20 
J57599|USTF0004|C31FSFC:0 C43F:12 C43FA:20 
