J00241||C09ICC:0 JDESEC:7 
J30835|USTN0001|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:20 
J01051|ZJDE0001|C09ICC:0 G00:2 G0021:21 
J09800|U0001|C09ICC:0 C09N:1 C09PN:9 C09P3N:3 
J4112|U0003|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:5 
J00908||C09ICC:0 JDESEC:3 
J000901||C09ICC:0 JDESEC:6 
J30835|USTN0012PT|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:23 
J0094||C09ICC:0 G944:5 
J4114|U0005|C09ICC:0 C09N:14 C41AN:4 C41TXN:13 
J12850|USTNF001|C09ICC:0 C09N:8 C12N:7 
J09800|ZJDE0028|C09ICC:0 C09N:8 C12N:8 C1222N:7 
J30026|USTC0001|C09ICC:0 C09N:20 C30N:4 
J01054|U0001|C09ICC:0 C09N:22 C04N:1 C04A:2 
J4114|U0010|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:14 
J09800|ZJDE0029|C09ICC:0 C09N:8 C12N:8 C1222N:21 
J30835|USTP0012|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:11 C3031CPC:16 
J00991||C09ICC:0 G944:7 
J30835|USTP0012P|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:11 C3031CPC:15 
J30835|USTP0012T|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:11 C3031CPC:24 
J4112|U0003|C09ICC:0 C09N:14 C41AN:4 C41TXN:5 
J09800|USTN0034|C09ICC:0 C09N:1 C09PN:7 C3116N:19 
J30835|USTN0012P|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:15 
J00011||C09ICC:0 JDESEC:5 
J1201|ZJDE0001|C09ICC:0 C09N:8 C12N:2 
J4112|U0002|C09ICC:0 C09N:14 C41AN:4 C41TXN:6 
J0005A|ZJDE0001|C09ICC:0 G00:14 
J30835|USTN0012|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:16 
J4112|U2222|C09ICC:0 C09N:14 C41AN:4 C41TXN:23 
J3002|USTC0001O|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:7 
J4113|U0002|C09ICC:0 C09N:14 C41AN:4 C41TXN:1 
J3002|USTC0004|C09ICC:0 C09N:20 C30N:3 
J30835|USTN0012T|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:24 
J4113|U0001|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:10 
J4105|U0001|C09ICC:0 C09N:20 C30N:22 C3014N:4 C4112N:4 
J4211|U0001|C09ICC:0 C09N:1 C09PN:11 C41TXN2N:2 
J30835|USTP0001P|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:11 C3031CPC:19 
J0901||C09ICC:0 C09N:3 
J4113|U0001|C09ICC:0 C09N:14 C41AN:4 C41TXN:10 
J1202||C09ICC:0 C09N:8 C12N:4 
J30835|USTN0001P|C09ICC:0 C09N:20 C30N:22 C3014N:9 
J4101|U0001|C09ICC:0 C09N:20 C30N:24 C41AN:1 
J4112|U4444|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:22 
J09800|USTC0033|C09ICC:0 C09N:1 C09PN:5 C09P2N:5 
J4114|U0016|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:8 
J00921||C09ICC:0 JDESEC:9 
J0901A||C09ICC:0 C09N:4 
J57599|USTN0004FA|C09ICC:0 C09N:8 C12N:23 
J4016|U0002|C09ICC:0 C09N:20 C30N:22 C3014N:4 C4112N:8 
J4114|U0008|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:19 
J09800|U0005|C09ICC:0 C09N:1 C09PN:9 C09P3N:6 
J4114|U0009|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:17 
J41026|U0001|C09ICC:0 C09N:14 C41AN:2 
J09800|USTC0098|C09ICC:0 C09N:1 C09PN:11 C41TXN2N:7 
J4114|U0008|C09ICC:0 C09N:14 C41AN:4 C41TXN:19 
J3002|USTC0001O|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:11 C3031CPC:7 
J4114|U0006|C09ICC:0 C09N:14 C41AN:4 C41TXN:16 
J4114|U0014|C09ICC:0 C09N:14 C41AN:4 C41TXN:21 
J4112|U1111|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:7 
J12105||C09ICC:0 C09N:8 C12N:8 C1222N:19 
J4116|U0004|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:20 
J09201||C09ICC:0 C09N:8 C12N:18 C1212N:22 
J30835|USTN0001P|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:19 
J0092||C09ICC:0 JDESEC:2 
J4114|U0006|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:16 
J09800|USTC0019|C09ICC:0 C09N:1 C09PN:5 C09P2N:2 
J4116|U0004|C09ICC:0 C09N:14 C41AN:4 C41TXN:20 
J09201||C09ICC:0 C09N:1 C09PN:11 C41TXN2N:6 
J41026|U0001|C09ICC:0 C09N:20 C30N:24 C41AN:2 
J4112|U0001|C09ICC:0 C09N:14 C41AN:4 C41TXN:4 
J4112|U0002|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:6 
J09101|USTC0001|C09ICC:0 C09N:1 C09PN:1 C0911N:2 
J09800|ZJDE0029|C09ICC:0 C09N:8 C12N:18 C1212N:19 
J4112|U4444|C09ICC:0 C09N:14 C41AN:4 C41TXN:22 
J4112|U0004|C09ICC:0 C09N:14 C41AN:4 C41TXN:9 
J3002|USTC0001|C09ICC:0 C09N:20 C30N:2 
J41022||C09ICC:0 C09N:20 C30N:22 C3014N:4 C4112N:15 
J4112|U2222|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:23 
J4114|U0005|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:13 
J41026|U0001|C09ICC:0 C09N:20 C30N:22 C3014N:4 C4112N:14 
J09201||C09ICC:0 C09N:8 C12N:8 C1222N:15 
J4112|U0010|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:11 
J4112|U0010|C09ICC:0 C09N:14 C41AN:4 C41TXN:11 
J30820|USTN001SIM|C09ICC:0 C09N:20 C30N:22 C3014N:8 
J4116|U0099|C09ICC:0 C09N:14 C41AN:4 C41TXN:12 
J4116|U0009|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:2 
J4114|U0009|C09ICC:0 C09N:14 C41AN:4 C41TXN:17 
J4112|U1111A|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:3 
J4101|U0001|C09ICC:0 C09N:20 C30N:22 C3014N:4 C4112N:2 
J4114|U0007|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:15 
J01051||C09ICC:0 C09N:22 C04N:1 C04A:6 
J0093||C09ICC:0 G944:6 
J4112|U0001|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:4 
J00031||C09ICC:0 JDESEC:4 
J4114|U0010|C09ICC:0 C09N:14 C41AN:4 C41TXN:14 
J00121|ZJDE0001|C09ICC:0 G00:15 
J30835|USTP0012PT|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:11 C3031CPC:23 
J4112|U1111A|C09ICC:0 C09N:14 C41AN:4 C41TXN:3 
J30835|USTN0001|C09ICC:0 C09N:20 C30N:22 C3014N:10 
J4016|U0001|C09ICC:0 C09N:20 C30N:22 C3014N:4 C4112N:9 
J4112|U3333|C09ICC:0 C09N:14 C41AN:4 C41TXN:24 
J09800|ZJDE0028|C09ICC:0 C09N:8 C12N:18 C1212N:15 
J4112|U0004|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:9 
J4114|U0016|C09ICC:0 C09N:14 C41AN:4 C41TXN:8 
J30835|USTP0001|C09ICC:0 C09N:20 C30N:22 C3014N:12 C3031NSH:11 C3031CPC:20 
J4114|U0014|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:21 
J09800|USTC0004|C09ICC:0 C09N:1 C09PN:1 C0911N:8 
J09800|ZJDE0016|C09ICC:0 C09N:8 C12N:18 C1212N:6 
J41011||C09ICC:0 C09N:20 C30N:22 C3014N:4 C4112N:3 
J4116|U0099|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:12 
J4112|U1111|C09ICC:0 C09N:14 C41AN:4 C41TXN:7 
J4112|U3333|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:24 
J41025||C09ICC:0 C09N:20 C30N:22 C3014N:4 C4112N:16 
J4101|U0001|C09ICC:0 C09N:14 C41AN:1 
J4116|U0009|C09ICC:0 C09N:14 C41AN:4 C41TXN:2 
J0005A|ZJDE0060|C09ICC:0 G00:2 G0021:23 
J00042||C09ICC:0 JDESEC:11 
J010513||C09ICC:0 C09N:22 C04N:1 C04A:7 
J4113|U0002|C09ICC:0 C09N:20 C30N:24 C41AN:4 C41TXN:1 
J09800|USTC0042|C09ICC:0 C09N:1 C09PN:3 C09P1N:2 
J30026|USTC0001|C09ICC:0 C09N:20 C30N:22 C3014N:2 
J4114|U0007|C09ICC:0 C09N:14 C41AN:4 C41TXN:15 
J09201||C09ICC:0 C09N:1 C09PN:1 C0911N:7 
J9612||C09ICC:0 JDESEC:10 
J3003|U0001|C09ICC:0 C09N:20 C30N:14 
