J09201||C09ACCTDIR:0 C09REVPSTA:2 
J12104||C09ACCTDIR:0 C12CMGR:22 C1222CMGR:19 
J0005A|ADPPAY55LC|C09ACCTDIR:0 C56PAYROLL:20 C09ADP:19 C09ADP2:4 
J09800|USTC0019|C09ACCTDIR:0 C09REVPSTA:17 
J09800|USTC0033|C09ACCTDIR:0 C09REVPSTA:18 
J0005A|ZJDE0309|C09ACCTDIR:0 C12CMGR:6 C1242:22 
J09800|USTC0020|C09ACCTDIR:0 C09REVPSTA:21 
J0005A|ADPPAY55PC|C09ACCTDIR:0 C56PAYROLL:20 C09ADP:19 C09ADP2:6 
J0005A|ZJDE0301|C09ACCTDIR:0 C12CMGR:6 C1242:2 
J09101|USTC0001|C09ACCTDIR:0 C09ACCTDIR:14 
J09800|ZJDE0029|C09ACCTDIR:0 C09REVPSTA:24 C09REVPSTB:18 
J41026|U0001|C09ACCTDIR:0 C55:11 C4112ACCT:7 
J0005A|ADPPAY55LV|C09ACCTDIR:0 C56PAYROLL:20 C09ADP:19 C09ADP2:5 
J4092|ZJDE0001|C09ACCTDIR:0 C55:16 
J09800|USTC0034|C09ACCTDIR:0 C09REVPSTA:19 
J0901A||C09ACCTDIR:0 C09411ACCT:7 
J0005A|ADPPAY55CC|C09ACCTDIR:0 C56PAYROLL:20 C09ADP:19 C09ADP2:2 
J09800|USTC0002|C09ACCTDIR:0 C09REVPSTA:16 
J09800|USTC0042|C09ACCTDIR:0 C09REVPSTA:20 
J09201||C09ACCTDIR:0 C12CMGR:22 C1222CMGR:15 
J0005A|USTCFA23|C09ACCTDIR:0 C12CMGR:6 C1242:21 
J4092|ZJDE0002|C09ACCTDIR:0 C55:17 
J1202||C09ACCTDIR:0 C12CMGR:4 
J09800|USTC0005|C09ACCTDIR:0 C09REVPSTA:24 C09REVPSTB:14 
J0005A|ZJDE0302|C09ACCTDIR:0 C12CMGR:6 C1242:3 
J0006AS|ZJDE0001|C09ACCTDIR:0 C09411ACCT:3 
J0005A|USTCFAFS|C09ACCTDIR:0 C12CMGR:6 C1242:23 
J09201||C09ACCTDIR:0 C09REVPSTA:24 C09REVPSTB:5 
J0005A|USTCFA15|C09ACCTDIR:0 C12CMGR:6 C1242:20 
J09800|USTC0001|C09ACCTDIR:0 C09REVPSTA:15 
J4101|U0001|C09ACCTDIR:0 C55:11 C4112ACCT:2 
J0901||C09ACCTDIR:0 C09411ACCT:8 
J0005A|ZJDE0303|C09ACCTDIR:0 C12CMGR:6 C1242:10 
J12105||C09ACCTDIR:0 C12CMGR:22 C1222CMGR:20 
J0005A|ZJDE0305|C09ACCTDIR:0 C12CMGR:6 C1242:12 
J09800|U0005|C09ACCTDIR:0 C09REVPSTA:23 
J0005A|ZJDE0308|C09ACCTDIR:0 C12CMGR:6 C1242:16 
J4006||C09ACCTDIR:0 C55:9 
J09800|USTC0004|C09ACCTDIR:0 C09REVPSTA:14 
J42045|USTC0001|C09ACCTDIR:0 C09INQ:2 
J09800|ZJDE0029|C09ACCTDIR:0 C12CMGR:22 C1222CMGR:22 
J0005A|ZJDE0311|C09ACCTDIR:0 C12CMGR:6 C1242:6 
J0005A|ZJDE0304|C09ACCTDIR:0 C12CMGR:6 C1242:11 
J0005A|USTCFA13|C09ACCTDIR:0 C12CMGR:6 C1242:18 
J1201|ZJDE0001|C09ACCTDIR:0 C12CMGR:2 
J0005A|ZJDE0312|C09ACCTDIR:0 C12CMGR:6 C1242:7 
J09800|ZJDE0016|C09ACCTDIR:0 C09REVPSTA:24 C09REVPSTB:15 
J09800|ZJDE0028|C09ACCTDIR:0 C09REVPSTA:24 C09REVPSTB:16 
J12850|USTC0001|C09ACCTDIR:0 C12CMGR:9 
J0005A|ADPPAY55CO|C09ACCTDIR:0 C56PAYROLL:20 C09ADP:19 C09ADP2:3 
J4092|ZJDE0002|C09ACCTDIR:0 C55:4 
J0901||C09ACCTDIR:0 C04ACCT:1 C0414:24 
J4092|ZJDE0001|C09ACCTDIR:0 C55:3 
J09800|U0001|C09ACCTDIR:0 C09REVPSTA:22 
J0005A|ZJDE0402|C09ACCTDIR:0 C55:22 C5501:7 
J0005A|UST0003|C09ACCTDIR:0 C55:23 
J0005A|USTCFA11|C09ACCTDIR:0 C12CMGR:6 C1242:17 
J0005A|ZJDE0307|C09ACCTDIR:0 C12CMGR:6 C1242:15 
J0005A|USTCFA14|C09ACCTDIR:0 C12CMGR:6 C1242:19 
J09800|ZJDE0016|C09ACCTDIR:0 C12CMGR:12 
J0005A|ADPPAY55OV|C09ACCTDIR:0 C56PAYROLL:20 C09ADP:19 C09ADP2:7 
J4092|ZJDE0003|C09ACCTDIR:0 C55:18 
J41011||C09ACCTDIR:0 C55:11 C4112ACCT:3 
J0005A|ZJDE0306|C09ACCTDIR:0 C12CMGR:6 C1242:14 
J0005A|ADPPAY55AL|C09ACCTDIR:0 C56PAYROLL:15 
J09800|ZJDE0028|C09ACCTDIR:0 C12CMGR:22 C1222CMGR:7 
J41025||C09ACCTDIR:0 C55:11 C4112ACCT:8 
J00105||C09ACCTDIR:0 C09411ACCT:2 
J0005A|ADPPAY55AL|C09ACCTDIR:0 C56PAYROLL:20 C09ADP:19 C09ADP2:14 
