J42045|USTC0001|IAD:0 MD:19 C34A:12 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:24 
J41011||IAD:0 MD:2 C09:3 C09PF:7 C3116F:23 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:4 C4112F:3 
J4242|U0002|IAD:0 MD:19 C34A:12 C30:22 C3014:24 C30:24 C41:6 C41TXN1N:2 
J30820|U0001|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:8 
J4114|U0001|IAD:0 MD:16 C30:22 C3014:21 C3011:20 C4111:10 
J4114|U0009|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:3 C41TXN:17 
J4116|U0009|IAD:0 MD:14 C41:3 C41TXN:2 
J4211|USTC0033V4|IAD:0 MD:7 C42:12 C42VMIPROD:4 C42VMIEMG:18 
J41240|U0001N|IAD:0 MD:19 C34A:12 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:12 C4121N:14 
J43510|USTF0001|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:5 C41TXN1F:17 
J4211|USTINTLMEX|IAD:0 MD:2 C09:3 C09PF:7 C3116F:23 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:24 C41F:11 C43PA3F:24 C732F:21 C58F:4 
J4312|USTF0001AQ|IAD:0 MD:2 C09:3 C09PF:7 C3116F:23 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:24 C41F:11 C43PA3F:5 
J41026|U0001|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:21 C3011:20 C4111:3 
J4112|U3333|IAD:0 MD:14 C41:3 C41TXN:24 
J41240|U0003N|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:12 C4121N:17 
J4114|U0013|IAD:0 MD:19 C34A:12 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:5 C41TXN1F:9 
J4211|USTC0042|IAD:0 MD:7 C42:20 C42115:18 
J4242|U0002|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:6 C41TXN1N:2 
J41413|USTN0001|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:12 C4121N:19 
J4112|U4444|IAD:0 MD:19 C34A:12 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:3 C41TXN:22 
J3003|U0001|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:21 C3011:14 
J4312|U0003|IAD:0 MD:16 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:6 C41TXN1N:18 
J3002|USTC0001|IAD:0 MD:2 C09:3 C09PF:7 C3116F:23 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:22 C3014F:24 C30F:2 
J4114|U0016|IAD:0 MD:19 C34A:12 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:3 C41TXN:8 
J4114|U0005|IAD:0 MD:19 C34A:12 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:24 C41:3 C41TXN:13 
J4116|U0001|IAD:0 MD:19 C34A:12 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:24 C30:22 C3014:21 C3011:20 C4111:11 
J3002|USTC0002|IAD:0 MD:16 C30:24 C41:4 C4114A:15 
