J42045|USTC0001|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:17 
J3114|USTF0001R|C31FINTF:0 C3111FDF:12 C3115FDF:3 
J4312|U0003|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:18 
J4312|U0003B|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:24 
J4242|U0002|C31FINTF:0 C3115F:16 C41TXN1F:2 
J43510|USTF0001PC|C31FINTF:0 C3115F:16 C41TXN1F:12 C41TXN3FPC:5 
J31114|USTF0002|C31FINTF:0 C3111FDF:8 
J4114|U0013B|C31FINTF:0 C3115F:16 C41TXN1F:10 
J57616|USTC0001|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:12 
J4116|U0004|C31FINTF:0 C3115F:17 
J4312|USTF0002NQ|C31FINTF:0 C3115F:15 C43PA3F:7 
J43510|USTF0001|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:17 
J4312|USTF0001AQ|C31FINTF:0 C3115F:15 C43PA3F:5 
J43500|USTF0002|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:16 
J4211|U0001|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:22 
J31113|USTC0002PR|C31FINTF:0 C3111FPR:10 
J43510|USTF0001PC|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:5 
J4242|U0002BF|C31FINTF:0 C3115F:16 C41TXN1F:3 
J4312|U0003B|C31FINTF:0 C3115F:16 C41TXN1F:24 
J4312|USTF0001NQ|C31FINTF:0 C3115F:15 C43PA3F:2 
J4114|U0016|C31FINTF:0 C3111FPR:17 
J41026|U0001|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:14 C3111FPK2:19 
J4312|U0003|C31FINTF:0 C3115F:16 C41TXN1F:18 
J43510|USTF0001H|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:23 
J3114|USTF0001|C31FINTF:0 C3115F:3 
J4312|U0003FPC|C31FINTF:0 C3115F:16 C41TXN1F:12 C41TXN3FPC:6 
J4211|USTINTLMEX|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:4 
J4312|USTF0003NQ|C31FINTF:0 C3115F:15 C43PA3F:3 
J4211|USTINTCSMP|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:7 
J43500|USTF0002H|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:22 
J4242|U0002BF|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:3 
J4114|U0013|C31FINTF:0 C3115F:16 C41TXN1F:9 
J4114|U0013|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:9 
J4312|USTF0001PQ|C31FINTF:0 C3115F:15 C43PA3F:4 
J4211|USTINTLOTH|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:6 
J4114|U0013B|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:10 
J4312|U0003FPC|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:6 
J42045|USTF0001|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:8 
J31114|USTF0002|C31FINTF:0 C3111FPR:9 
J3114|USTF0001|C31FINTF:0 C3111FDF:12 C3115FDF:12 
J4113|U0001|C31FINTF:0 C3115F:15 C43PA3F:12 
J4211|USTINTLSTD|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:2 
J42045|USTF0001|C31FINTF:0 C3115F:16 C41TXN1F:8 
J43510|USTF0001H|C31FINTF:0 C3115F:16 C41TXN1F:23 
J4211|USTIIPISMP|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:5 
J4113|U0001|C31FINTF:0 C3115F:14 
J43500|USTF0002PC|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:12 C41TXN3FPC:4 
J43500|USTF0002PC|C31FINTF:0 C3115F:16 C41TXN1F:12 C41TXN3FPC:4 
J43510|USTF0001|C31FINTF:0 C3115F:16 C41TXN1F:17 
J4211|USTINTLSMP|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:21 C58F:3 
J43500|USTF0002|C31FINTF:0 C3115F:16 C41TXN1F:16 
J43500|USTF0002H|C31FINTF:0 C3115F:16 C41TXN1F:22 
J4312|USTF0004NQ|C31FINTF:0 C3115F:15 C43PA3F:6 
J42045|USTC0001|C31FINTF:0 C3115F:15 C43PA3F:24 C732F:14 
J31113|USTF0001|C31FINTF:0 C3111FDF:9 
J4242|U0002|C31FINTF:0 C3115F:15 C43PA3F:11 C41TXN1F:2 
