J01051||C57REG03M:0 C57MIL:2 C01:2 
J010512||C57REG03M:0 C57MIL:2 C01:7 
J4211|USTPOS|C57REG03M:0 C57MIL:3 C57POS:4 
J42045|USTPOS|C57REG03M:0 C57MIL:3 C57POS:9 
J01054|U0001|C57REG03M:0 C57MIL:2 C01:12 
J4211|USTPOSFLD|C57REG03M:0 C57MIL:3 C57POS:5 
J4016|ZJDE0001|C57REG03M:0 C57MIL:2 C01:11 
J01053|ZJDE0001|C57REG03M:0 C57MIL:2 C01:9 
J010513||C57REG03M:0 C57MIL:2 C01:5 
J4206||C57REG03M:0 C57MIL:2 C01:8 
J4211|USTPOSEMG|C57REG03M:0 C57MIL:3 C57POS:6 
J4211|USTPOS|C57REG03M:0 C57POS:4 
J4211|USTPOSFLD|C57REG03M:0 C57POS:5 
J42045|USTPOS|C57REG03M:0 C57POS:9 
J4211|USTPOSEMG|C57REG03M:0 C57POS:6 
