J1201|ZJDE0001|C43RS:0 C12R:2 
J0901A||C43RS:0 C09RS01:9 
J12104||C43RS:0 C12R:8 C1222R:22 
J4211|USTR001|C43RS:0 C09RS01:14 C42R:3 
J09800|ZJDE0029|C43RS:0 C12R:8 C1222R:21 
J12105||C43RS:0 C12R:8 C1222R:19 
J09800|ZJDE0028|C43RS:0 C12R:18 C1212R:15 
J09201||C43RS:0 C12R:8 C1222R:15 
J4211|USTR005|C43RS:0 C09RS01:14 C42R:9 
J1202||C43RS:0 C12R:4 
J0006AS|ZJDE0001|C43RS:0 C09RS01:7 
J4312|USTR0001NQ|C43RS:0 C09RS01:20 C43PA3R:2 
J4211|USTR002|C43RS:0 C09RS01:14 C42R:4 
J4211|USTR010|C43RS:0 C09RS01:14 C42R:8 
J4211|USTR006|C43RS:0 C09RS01:14 C42R:10 
J09201||C43RS:0 C12R:18 C1212R:22 
J4211|USTR009|C43RS:0 C09RS01:14 C42R:11 
J0901||C43RS:0 C09RS01:8 
J4211|USTR004|C43RS:0 C09RS01:14 C42R:6 
J09101|USTC0001|C43RS:0 C09RS01:2 
J09800|ZJDE0016|C43RS:0 C12R:18 C1212R:6 
J12850|USTR0001|C43RS:0 C12R:7 
J42045|USTR0001|C43RS:0 C09RS01:14 C42R:24 C42112R:2 
J4211|USTR011|C43RS:0 C09RS01:14 C42R:12 
J09800|ZJDE0028|C43RS:0 C12R:8 C1222R:7 
J4312|USTR0001NQ|C43RS:0 C43PA3R:2 
J4211|USTR007|C43RS:0 C09RS01:14 C42R:5 
J09800|ZJDE0029|C43RS:0 C12R:18 C1212R:19 
J4211|USTR003|C43RS:0 C09RS01:14 C42R:2 
