J4101|U0001|C09CCAPSTF:0 C55A:3 C4112ACCT:2 
J0005A|ZJDE0312|C09CCAPSTF:0 C12CSTAFF:6 C1242:7 
J12105||C09CCAPSTF:0 C12CSTAFF:22 C1222CSFT:20 
J0005A|ZJDE0305|C09CCAPSTF:0 C12CSTAFF:6 C1242:12 
J0005A|USTCFA13|C09CCAPSTF:0 C12CSTAFF:6 C1242:18 
J0005A|USTCFA23|C09CCAPSTF:0 C12CSTAFF:6 C1242:21 
J09101|USTC0001|C09CCAPSTF:0 C09CCAPSTF:18 
J0005A|ZJDE0309|C09CCAPSTF:0 C12CSTAFF:6 C1242:22 
J0005A|ZJDE0303|C09CCAPSTF:0 C12CSTAFF:6 C1242:10 
J3002|USTC0002|C09CCAPSTF:0 C55A:7 C4114A:15 
J12850|USTC0001|C09CCAPSTF:0 C12CSTAFF:10 
J0006AS|ZJDE0001|C09CCAPSTF:0 C09CCAPSTF:3 
J0901A||C09CCAPSTF:0 C09CCAPSTF:5 
J0005A|ZJDE0306|C09CCAPSTF:0 C12CSTAFF:6 C1242:14 
J0005A|USTCFAFS|C09CCAPSTF:0 C12CSTAFF:6 C1242:23 
J4311|USTCAP1|C09CCAPSTF:0 C09CCAPSTF:20 
J0005A|ZJDE0311|C09CCAPSTF:0 C12CSTAFF:6 C1242:6 
J0005A|ZJDE0301|C09CCAPSTF:0 C12CSTAFF:6 C1242:2 
J0005A|USTCFA15|C09CCAPSTF:0 C12CSTAFF:6 C1242:20 
J0901||C09CCAPSTF:0 C09CCAPSTF:4 
J0005A|USTCFA11|C09CCAPSTF:0 C12CSTAFF:6 C1242:17 
J0005A|USTCFA14|C09CCAPSTF:0 C12CSTAFF:6 C1242:19 
J3002|USTC0005|C09CCAPSTF:0 C55A:7 C4114A:14 
J12104||C09CCAPSTF:0 C12CSTAFF:22 C1222CSFT:19 
J41026|U0001|C09CCAPSTF:0 C55A:3 C4112ACCT:7 
J0005A|ZJDE0308|C09CCAPSTF:0 C12CSTAFF:6 C1242:16 
J1202||C09CCAPSTF:0 C12CSTAFF:4 
J1201|ZJDE0001|C09CCAPSTF:0 C12CSTAFF:2 
J0005A|ZJDE0304|C09CCAPSTF:0 C12CSTAFF:6 C1242:11 
J0005A|ZJDE0302|C09CCAPSTF:0 C12CSTAFF:6 C1242:3 
J4006||C09CCAPSTF:0 C55A:2 
J41025||C09CCAPSTF:0 C55A:3 C4112ACCT:8 
J41011||C09CCAPSTF:0 C55A:3 C4112ACCT:3 
J0005A|ZJDE0307|C09CCAPSTF:0 C12CSTAFF:6 C1242:15 
J00105||C09CCAPSTF:0 C09CCAPSTF:2 
