J4112|U3333|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:18 
J4113|U0002|C31FSFC:0 C31FSFC:10 
J43500|USTF0002PC|C31FSFC:0 C41TXN3F:16 
J43510|USTF0001PC|C31FSFC:0 C41TXN3F:17 
J4112|U1111|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:20 
J3114|USTF0001|C31FSFC:0 C3111FWO:5 C3115FWOCL:3 
J4114|USTPOS|C31FSFC:0 C31FSFC:12 
J4114|U0014|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:19 
J31114|USTF0001|C31FSFC:0 C3111FWO:3 C3111FWOPK:8 
J4114|U0013|C31FSFC:0 C31FSFC:21 
J42045|USTN0001|C31FSFC:0 C31FSFC:19 
J4114|U0005|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:14 
J31113|USTC0002|C31FSFC:0 C3111FWO:3 C3111FWOPK:9 
J4112|U0003|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:16 
J4114|U0006|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:17 
J4114|U0006FXP|C31FSFC:0 C41TXN3F:2 
J3114|USTF0001|C31FSFC:0 C3111FWO:3 C3111FWOPK:22 
J4312|U0003FPC|C31FSFC:0 C41TXN3F:18 
J4114|U0008|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:23 
J4116|U0004|C31FSFC:0 C3111FWO:5 C3115FWOCL:15 
J4112|U0004|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:21 
J4141|U0001|C31FSFC:0 C3111FWO:13 C4121FCNT:16 
J4112|U1111A|C31FSFC:0 C31FSFC:11 
J4112|U0002|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:22 
J4113|U0001|C31FSFC:0 C3111FWO:5 C3115FWOCL:14 
J41240|U0001F|C31FSFC:0 C3111FWO:13 C4121FCNT:14 
J4242|U0002|C31FSFC:0 C31FSFC:14 
J4116|U0004|C31FSFC:0 C3111FWO:3 C3111FWOPK:24 C3121FPACK:15 
J4114|U0013B|C31FSFC:0 C31FSFC:22 
