J31114|USTF0002|C31FINTF:0 C3111FPR:9 
J4114|U0013|C31FINTF:0 C3111FPR:12 C41TXN1F:9 
J43500|USTF0002H|C31FINTF:0 C3111FPR:12 C41TXN1F:22 
J3114|USTF0001|C31FINTF:0 C3111FDF:12 C3115FDF:12 
J4312|U0003B|C31FINTF:0 C3111FPR:12 C41TXN1F:24 
J43510|USTF0001|C31FINTF:0 C3111FPR:12 C41TXN1F:17 
J4242|U0002BF|C31FINTF:0 C3111FPR:12 C41TXN1F:3 
J4114|U0013B|C31FINTF:0 C3111FPR:12 C41TXN1F:10 
J4114|U0016|C31FINTF:0 C3111FPR:17 
J43500|USTF0002PC|C31FINTF:0 C3111FPR:12 C41TXN1F:12 C41TXN3FPC:4 
J4312|U0003FPC|C31FINTF:0 C3111FPR:12 C41TXN1F:12 C41TXN3FPC:6 
J31113|USTF0001|C31FINTF:0 C3111FDF:9 
J43510|USTF0001H|C31FINTF:0 C3111FPR:12 C41TXN1F:23 
J43500|USTF0002|C31FINTF:0 C3111FPR:12 C41TXN1F:16 
J42045|USTF0001|C31FINTF:0 C3111FPR:12 C41TXN1F:8 
J43510|USTF0001PC|C31FINTF:0 C3111FPR:12 C41TXN1F:12 C41TXN3FPC:5 
J4312|U0003|C31FINTF:0 C3111FPR:12 C41TXN1F:18 
J3114|USTF0001R|C31FINTF:0 C3111FDF:12 C3115FDF:3 
J31113|USTC0002PR|C31FINTF:0 C3111FPR:10 
J31114|USTF0002|C31FINTF:0 C3111FDF:8 
J4242|U0002|C31FINTF:0 C3111FPR:12 C41TXN1F:2 
